Stcok Full Name,Stock Abbrv,Stock Full Code,Stock Abbrv Code
KOREA KOLMAR,KOREA KOLMAR,KR7161890009,161890
Youngone Corporation,Youngone Corp,KR7111770004,111770
MERITZ SECURITIES,MERITZ SECU,KR7008560005,008560
KOREA PETRO CHEMICAL IND,KPIC,KR7006650006,006650
"COSMAX, INC.",COSMAX,KR7192820009,192820
"LG HAUSYS, LTD.",LG HAUSYS,KR7108670001,108670
DaouTechnology,DaouTech,KR7023590003,023590
HANATOUR SERVICE,HANATOUR SERVICE,KR7039130000,039130
Medy-Tox Inc.,MedyTox,KR7086900008,086900
Com2uS Corporation,C2S,KR7078340007,078340
"SK Materials Co., Ltd.",SK Materials,KR7036490001,036490
CJ ENM,CJ ENM,KR7035760008,035760
SFA Engineering Corporation,SFA,KR7056190002,056190
Doosan Bobcat,Doosan Bobcat,KR7241560002,241560
HyundaiElevator,HyundaiElev,KR7017800004,017800
HANSAE,Hansae,KR7105630008,105630
"WONIK IPS Co.,Ltd.",WONIK IPS,KR7240810002,240810
JWPHARMACEUTICAL,JWPHARMA,KR7001060003,001060
"AHNLAB,INC.",AHNLAB,KR7053800009,053800
"PARTRON CO., LTD",PARTRON,KR7091700005,091700
"SM ENTERTAINMENT CO., Ltd.",SME,KR7041510009,041510
Netmarble Corporation,Netmarble,KR7251270005,251270
"Celltrion Healthcare Co., Ltd.",Celltrion Healthcare,KR7091990002,091990
"POSCO CHEMICAL CO., LTD",POSCO CHEMICAL,KR7003670007,003670
YUNGJIN PHARM,YUNGJIN PHARM,KR7003520004,003520
"PI Advanced Materials Co., Ltd.",PIAM,KR7178920005,178920
WooriFinancialGroup,WooriFinancialGroup,KR7316140003,316140
HDC HYUNDAI DEVELOPMENT COMPANY,HDC-OP,KR7294870001,294870
ILJIN MATERIALS,ILJIN MATERIALS,KR7020150009,020150
HANALL BIOPHARMA,HANALL BIOPHARMA,KR7009420001,009420
JYP Ent.,JYP Ent.,KR7035900000,035900
SsangyongCementIndustrial,SsangyongCement ,KR7003410008,003410
PanOcean,PanOcean,KR7028670008,028670
SKC,SKC,KR7011790003,011790
"DB HiTek Co.,LTD",DB HiTek ,KR7000990002,000990
"FOOSUNG CO.,LTD",FOOSUNG,KR7093370005,093370
RFHIC CORPORATION,RFHIC,KR7218410009,218410
"DONGJIN SEMICHEM CO., LTD.",DONGJIN,KR7005290002,005290
NEPES Corporation,NEPES,KR7033640004,033640
"BH Co., Ltd.",BH,KR7090460007,090460
